data_vendita,cliente_id,eta_cliente,genere,categoria_prodotto,importo_speso,mese,nome_mese
2024-04-16,1030,65,F,Elettronica,134.93,4,Aprile
2024-04-17,1263,70,M,Sport,92.12,4,Aprile
2024-04-21,1269,30,F,Alimentari,84.52,4,Aprile
2024-04-21,1281,73,M,Casa,135.53,4,Aprile
2024-04-22,1210,74,M,Sport,111.36,4,Aprile
2024-04-22,1212,22,M,Alimentari,46.8,4,Aprile
2024-04-22,1201,64,F,Elettronica,110.58,4,Aprile
2024-04-22,1034,47,M,Alimentari,83.63,4,Aprile
2024-04-22,1107,70,M,Sport,117.69,4,Aprile
2024-04-25,1155,24,F,Casa,70.49,4,Aprile
2024-04-25,1187,42,M,Casa,82.28,4,Aprile
2024-04-29,1119,68,F,Casa,129.64,4,Aprile
2024-04-30,1296,65,F,Abbigliamento,114.7,4,Aprile
2024-05-01,1081,20,F,Elettronica,50.18,5,Maggio
2024-05-02,1185,48,M,Alimentari,96.2,5,Maggio
2024-05-03,1007,33,M,Casa,63.39,5,Maggio
2024-05-05,1049,53,F,Abbigliamento,103.6,5,Maggio
2024-05-07,1006,18,M,Abbigliamento,32.42,5,Maggio
2024-05-07,1129,50,F,Sport,93.2,5,Maggio
2024-05-08,1065,29,F,Elettronica,58.72,5,Maggio
2024-05-08,1198,41,F,Abbigliamento,89.53,5,Maggio
2024-05-09,1023,33,F,Sport,61.32,5,Maggio
2024-05-09,1176,50,F,Elettronica,84.14,5,Maggio
2024-05-10,1288,69,F,Alimentari,138.22,5,Maggio
2024-05-10,1174,27,F,Sport,69.03,5,Maggio
2024-05-10,1269,61,M,Alimentari,135.05,5,Maggio
2024-05-10,1012,72,F,Elettronica,118.8,5,Maggio
2024-05-13,1222,43,F,Alimentari,120.11,5,Maggio
2024-05-14,1174,47,M,Elettronica,90.43,5,Maggio
2024-05-14,1008,31,M,Elettronica,81.9,5,Maggio
2024-05-15,1180,30,F,Alimentari,80.91,5,Maggio
2024-05-16,1024,33,M,Sport,72.77,5,Maggio
2024-05-18,1045,74,M,Sport,118.58,5,Maggio
2024-05-19,1132,68,F,Sport,98.3,5,Maggio
2024-05-22,1076,52,M,Elettronica,89.61,5,Maggio
2024-05-23,1194,61,M,Casa,125.71,5,Maggio
2024-05-23,1020,21,M,Elettronica,93.26,5,Maggio
2024-05-26,1040,41,F,Casa,66.01,5,Maggio
2024-05-26,1283,25,F,Abbigliamento,44.23,5,Maggio
2024-05-27,1110,29,F,Abbigliamento,66.05,5,Maggio
2024-05-27,1013,49,F,Alimentari,82.65,5,Maggio
2024-05-29,1045,39,M,Alimentari,107.18,5,Maggio
2024-05-30,1228,18,M,Elettronica,55.15,5,Maggio
2024-05-31,1223,39,F,Abbigliamento,74.43,5,Maggio
2024-05-31,1203,43,F,Casa,71.38,5,Maggio
2024-05-31,1220,29,F,Alimentari,78.72,5,Maggio
2024-06-01,1000,42,F,Abbigliamento,95.44,6,Giugno
2024-06-05,1059,56,M,Alimentari,103.17,6,Giugno
2024-06-08,1263,52,F,Sport,94.41,6,Giugno
2024-06-08,1165,30,F,Elettronica,63.47,6,Giugno
2024-06-08,1182,33,M,Casa,93.23,6,Giugno
2024-06-08,1116,27,M,Casa,91.15,6,Giugno
2024-06-09,1162,71,F,Elettronica,136.51,6,Giugno
2024-06-09,1011,66,F,Alimentari,94.52,6,Giugno
2024-06-09,1043,58,M,Elettronica,125.71,6,Giugno
2024-06-10,1194,57,M,Abbigliamento,78.35,6,Giugno
2024-06-11,1152,62,F,Sport,116.64,6,Giugno
2024-06-11,1160,26,F,Elettronica,73.6,6,Giugno
2024-06-13,1121,22,F,Abbigliamento,68.83,6,Giugno
2024-06-15,1163,70,F,Casa,144.07,6,Giugno
2024-06-17,1205,52,F,Casa,113.13,6,Giugno
2024-06-18,1195,45,M,Elettronica,107.87,6,Giugno
2024-06-18,1008,36,F,Elettronica,82.69,6,Giugno
2024-06-19,1115,72,F,Abbigliamento,106.49,6,Giugno
2024-06-20,1172,20,M,Abbigliamento,85.61,6,Giugno
2024-06-20,1273,39,F,Abbigliamento,91.79,6,Giugno
2024-06-20,1104,54,F,Abbigliamento,108.92,6,Giugno
2024-06-23,1016,65,M,Elettronica,130.59,6,Giugno
2024-06-27,1085,61,M,Casa,110.37,6,Giugno
2024-06-28,1081,39,F,Sport,99.44,6,Giugno
2024-07-02,1242,69,F,Casa,108.47,7,Luglio
2024-07-05,1206,69,M,Casa,117.77,7,Luglio
2024-07-05,1099,72,M,Sport,118.97,7,Luglio
2024-07-05,1173,59,F,Elettronica,116.22,7,Luglio
2024-07-06,1026,71,M,Casa,112.98,7,Luglio
2024-07-06,1241,64,F,Sport,109.5,7,Luglio
2024-07-07,1159,73,F,Casa,122.91,7,Luglio
2024-07-08,1191,22,F,Elettronica,61.39,7,Luglio
2024-07-08,1021,51,M,Alimentari,59.65,7,Luglio
2024-07-08,1057,19,M,Abbigliamento,46.52,7,Luglio
2024-07-09,1083,48,M,Elettronica,89.63,7,Luglio
2024-07-10,1222,62,M,Abbigliamento,95.05,7,Luglio
2024-07-12,1244,27,M,Abbigliamento,52.21,7,Luglio
2024-07-16,1227,71,F,Sport,150.79,7,Luglio
2024-07-16,1017,22,M,Casa,35.91,7,Luglio
2024-07-16,1011,18,M,Elettronica,41.74,7,Luglio
2024-07-17,1230,52,M,Casa,105.32,7,Luglio
2024-07-19,1281,41,M,Casa,79.27,7,Luglio
2024-07-19,1165,29,M,Abbigliamento,65.99,7,Luglio
2024-07-20,1235,63,M,Abbigliamento,85.81,7,Luglio
2024-07-21,1294,51,M,Abbigliamento,88.03,7,Luglio
2024-07-24,1098,69,M,Casa,129.59,7,Luglio
2024-07-25,1075,50,F,Alimentari,101.05,7,Luglio
2024-07-26,1178,41,M,Alimentari,102.29,7,Luglio
2024-07-26,1162,19,M,Elettronica,52.93,7,Luglio
2024-07-26,1106,43,F,Sport,86.98,7,Luglio
2024-07-31,1161,59,F,Casa,104.27,7,Luglio
2024-08-01,1165,42,M,Elettronica,86.0,8,Agosto
2024-08-02,1146,39,F,Casa,100.65,8,Agosto
2024-08-02,1257,34,M,Alimentari,84.96,8,Agosto
2024-08-03,1208,19,M,Sport,43.37,8,Agosto
2024-08-04,1270,26,M,Elettronica,63.18,8,Agosto
2024-08-05,1213,32,F,Casa,79.95,8,Agosto
2024-08-05,1249,40,F,Elettronica,83.11,8,Agosto
2024-08-05,1021,71,M,Elettronica,106.17,8,Agosto
2024-08-07,1292,43,M,Casa,46.96,8,Agosto
2024-08-09,1224,69,M,Sport,116.8,8,Agosto
2024-08-11,1019,38,M,Casa,75.73,8,Agosto
2024-08-12,1151,56,F,Elettronica,107.56,8,Agosto
2024-08-12,1146,39,F,Sport,88.3,8,Agosto
2024-08-12,1002,49,F,Sport,81.34,8,Agosto
2024-08-14,1010,39,F,Sport,71.2,8,Agosto
2024-08-14,1019,46,F,Abbigliamento,111.65,8,Agosto
2024-08-18,1288,47,M,Abbigliamento,83.36,8,Agosto
2024-08-18,1160,21,M,Elettronica,62.71,8,Agosto
2024-08-18,1272,25,M,Abbigliamento,80.77,8,Agosto
2024-08-18,1207,64,M,Abbigliamento,138.86,8,Agosto
2024-08-20,1299,54,M,Sport,90.97,8,Agosto
2024-08-20,1000,34,F,Sport,84.39,8,Agosto
2024-08-20,1013,57,F,Sport,89.58,8,Agosto
2024-08-21,1237,72,M,Abbigliamento,127.95,8,Agosto
2024-08-23,1059,51,F,Sport,123.06,8,Agosto
2024-08-24,1280,43,F,Sport,68.04,8,Agosto
2024-08-24,1232,64,M,Sport,103.77,8,Agosto
2024-08-27,1039,62,F,Elettronica,117.02,8,Agosto
2024-08-28,1201,23,F,Alimentari,50.14,8,Agosto
2024-08-29,1032,41,M,Casa,68.84,8,Agosto
2024-08-30,1121,47,M,Elettronica,108.57,8,Agosto
2024-08-31,1119,66,M,Casa,139.4,8,Agosto
2024-09-03,1065,22,F,Sport,67.0,9,Settembre
2024-09-08,1207,60,F,Alimentari,73.22,9,Settembre
2024-09-08,1009,60,M,Casa,105.95,9,Settembre
2024-09-08,1256,40,M,Elettronica,90.5,9,Settembre
2024-09-08,1001,44,M,Sport,122.51,9,Settembre
2024-09-09,1223,44,F,Abbigliamento,54.65,9,Settembre
2024-09-10,1292,28,M,Alimentari,49.74,9,Settembre
2024-09-10,1256,19,M,Elettronica,35.85,9,Settembre
2024-09-11,1178,71,M,Elettronica,122.28,9,Settembre
2024-09-11,1245,27,F,Elettronica,19.39,9,Settembre
2024-09-13,1101,59,M,Casa,113.46,9,Settembre
2024-09-14,1112,47,F,Elettronica,63.62,9,Settembre
2024-09-15,1011,62,F,Elettronica,103.18,9,Settembre
2024-09-15,1297,45,M,Abbigliamento,99.07,9,Settembre
2024-09-16,1129,42,F,Elettronica,61.21,9,Settembre
2024-09-17,1205,18,F,Elettronica,48.72,9,Settembre
2024-09-19,1286,27,F,Sport,65.91,9,Settembre
2024-09-20,1284,52,F,Alimentari,98.82,9,Settembre
2024-09-21,1133,46,F,Elettronica,83.85,9,Settembre
2024-09-23,1162,20,M,Alimentari,45.21,9,Settembre
2024-09-24,1058,45,M,Casa,87.92,9,Settembre
2024-09-24,1116,40,F,Elettronica,75.96,9,Settembre
2024-09-26,1091,41,F,Abbigliamento,86.94,9,Settembre
2024-09-27,1261,64,M,Sport,127.13,9,Settembre
2024-09-27,1248,38,M,Sport,66.96,9,Settembre
2024-09-27,1218,50,M,Alimentari,98.06,9,Settembre
2024-09-30,1250,23,M,Casa,66.06,9,Settembre
2024-10-03,1187,68,M,Casa,133.56,10,Ottobre
2024-10-06,1267,49,M,Sport,88.9,10,Ottobre
2024-10-06,1273,50,F,Casa,99.13,10,Ottobre
2024-10-09,1126,71,F,Abbigliamento,112.93,10,Ottobre
2024-10-09,1040,54,M,Casa,100.91,10,Ottobre
2024-10-10,1040,54,F,Sport,96.34,10,Ottobre
2024-10-10,1105,34,F,Sport,61.69,10,Ottobre
2024-10-12,1110,29,M,Abbigliamento,63.93,10,Ottobre
2024-10-15,1221,37,M,Abbigliamento,106.21,10,Ottobre
2024-10-19,1071,49,M,Elettronica,67.54,10,Ottobre
2024-10-20,1016,55,M,Casa,120.57,10,Ottobre
2024-10-20,1124,36,M,Abbigliamento,67.12,10,Ottobre
2024-10-21,1130,22,F,Sport,54.91,10,Ottobre
2024-10-22,1014,44,M,Casa,84.9,10,Ottobre
2024-10-24,1260,50,M,Abbigliamento,110.52,10,Ottobre
2024-10-27,1092,59,F,Casa,113.04,10,Ottobre
2024-10-30,1265,63,F,Elettronica,130.27,10,Ottobre
2024-10-30,1083,49,M,Abbigliamento,108.06,10,Ottobre
2024-10-30,1120,46,M,Elettronica,93.3,10,Ottobre
2024-11-02,1191,45,F,Casa,82.97,11,Novembre
2024-11-02,1054,46,F,Abbigliamento,75.89,11,Novembre
2024-11-03,1083,50,M,Alimentari,118.7,11,Novembre
2024-11-04,1154,63,F,Sport,130.48,11,Novembre
2024-11-05,1174,59,M,Abbigliamento,120.26,11,Novembre
2024-11-05,1058,54,F,Sport,115.46,11,Novembre
2024-11-09,1073,25,F,Alimentari,47.01,11,Novembre
2024-11-10,1118,43,M,Alimentari,77.89,11,Novembre
2024-11-11,1006,58,M,Abbigliamento,108.33,11,Novembre
2024-11-13,1149,46,M,Casa,60.29,11,Novembre
2024-11-13,1242,56,M,Abbigliamento,117.66,11,Novembre
2024-11-15,1209,34,F,Sport,40.44,11,Novembre
2024-11-19,1261,53,F,Abbigliamento,88.07,11,Novembre
2024-11-20,1130,18,F,Casa,24.14,11,Novembre
2024-11-21,1239,19,F,Sport,59.9,11,Novembre
2024-11-22,1026,52,F,Abbigliamento,93.3,11,Novembre
2024-11-22,1089,67,M,Casa,121.13,11,Novembre
2024-11-23,1213,68,F,Sport,106.69,11,Novembre
2024-11-24,1203,63,F,Sport,113.78,11,Novembre
2024-11-26,1205,50,M,Abbigliamento,87.15,11,Novembre
2024-11-26,1250,70,F,Alimentari,139.53,11,Novembre
2024-12-03,1144,60,F,Casa,101.08,12,Dicembre
2024-12-03,1279,34,M,Alimentari,76.11,12,Dicembre
2024-12-03,1197,53,M,Sport,93.09,12,Dicembre
2024-12-05,1025,70,F,Elettronica,139.75,12,Dicembre
2024-12-05,1083,26,F,Alimentari,44.18,12,Dicembre
2024-12-05,1129,62,M,Casa,96.63,12,Dicembre
2024-12-08,1219,65,F,Elettronica,123.35,12,Dicembre
2024-12-09,1049,42,M,Abbigliamento,62.47,12,Dicembre
2024-12-09,1232,55,F,Sport,95.8,12,Dicembre
2024-12-10,1078,43,M,Sport,89.19,12,Dicembre
2024-12-10,1221,38,F,Elettronica,72.36,12,Dicembre
2024-12-11,1159,70,F,Sport,103.38,12,Dicembre
2024-12-11,1078,66,M,Sport,125.87,12,Dicembre
2024-12-11,1292,37,F,Elettronica,48.95,12,Dicembre
2024-12-11,1117,46,F,Elettronica,85.25,12,Dicembre
2024-12-13,1083,18,M,Elettronica,48.19,12,Dicembre
2024-12-14,1118,38,M,Sport,96.3,12,Dicembre
2024-12-14,1086,66,M,Abbigliamento,135.59,12,Dicembre
2024-12-14,1044,31,F,Sport,48.19,12,Dicembre
2024-12-16,1020,67,F,Abbigliamento,129.07,12,Dicembre
2024-12-17,1147,56,F,Casa,111.32,12,Dicembre
2024-12-17,1013,67,M,Casa,121.84,12,Dicembre
2024-12-24,1087,60,M,Abbigliamento,85.03,12,Dicembre
2024-12-24,1086,70,F,Alimentari,113.4,12,Dicembre
2024-12-25,1094,68,M,Casa,119.94,12,Dicembre
2024-12-25,1284,40,M,Abbigliamento,98.01,12,Dicembre
2024-12-25,1294,68,M,Sport,134.81,12,Dicembre
2024-12-25,1027,54,M,Abbigliamento,109.82,12,Dicembre
2024-12-29,1192,21,M,Casa,44.34,12,Dicembre
2024-12-31,1034,74,M,Casa,124.33,12,Dicembre
